iter	Passed	Remaining
949	15608	821
950	15623	804
951	15639	788
952	15655	772
953	15671	755
954	15686	739
955	15702	722
956	15717	706
957	15736	689
958	15752	673
959	15767	656
960	15784	640
961	15799	624
962	15815	607
963	15833	591
964	15848	574
965	15864	558
966	15884	542
967	15902	525
968	15918	509
969	15934	492
970	15956	476
971	15972	460
972	15987	443
973	16002	427
974	16018	410
975	16034	394
976	16050	377
977	16081	361
978	16097	345
979	16112	328
980	16127	312
981	16142	295
982	16158	279
983	16174	262
984	16190	246
985	16204	230
986	16220	213
987	16235	197
988	16251	180
989	16267	164
990	16283	147
991	16298	131
992	16314	115
993	16329	98
994	16344	82
995	16360	65
996	16375	49
997	16391	32
998	16406	16
999	16422	0
